Location(x=20.504889, y=2.267938, z=0.000000)
Location(x=22.185389, y=1.814445, z=0.000000)
Location(x=23.787331, y=1.133634, z=0.000000)
Location(x=25.280136, y=0.238501, z=0.000003)
Location(x=26.635302, y=-0.853863, z=0.000007)
Location(x=27.824150, y=-2.118915, z=0.000012)
Location(x=28.823357, y=-3.478091, z=0.000015)
Location(x=29.671278, y=-4.936446, z=0.000015)
Location(x=30.358164, y=-6.477213, z=0.000015)
Location(x=30.876112, y=-8.082672, z=0.000015)
Location(x=31.219170, y=-9.734364, z=0.000015)
Location(x=31.400164, y=-12.556946, z=0.000015)
Location(x=31.400164, y=-12.556946, z=0.000015)
Location(x=31.408253, y=-14.051674, z=0.000015)
Location(x=31.420843, y=-15.546370, z=0.000015)
Location(x=31.437904, y=-17.041021, z=0.000015)
Location(x=31.459435, y=-18.535616, z=0.000015)
Location(x=31.485466, y=-20.030138, z=0.000015)
Location(x=31.515968, y=-21.524576, z=0.000015)
Location(x=31.550970, y=-23.018915, z=0.000015)
Location(x=31.590183, y=-24.515205, z=0.000015)
Location(x=31.630289, y=-26.014669, z=0.000015)
Location(x=31.670393, y=-27.514132, z=0.000015)
Location(x=31.739374, y=-30.093214, z=0.000015)
Location(x=31.739374, y=-30.093214, z=0.000015)
Location(x=31.779480, y=-31.592676, z=0.000015)
Location(x=31.819584, y=-33.092140, z=0.000015)
Location(x=31.859690, y=-34.591602, z=0.000015)
Location(x=31.899796, y=-36.091068, z=0.000015)
Location(x=31.939899, y=-37.590530, z=0.000015)
Location(x=31.980005, y=-39.089993, z=0.000015)
Location(x=32.020111, y=-40.589458, z=0.000015)
Location(x=32.060215, y=-42.088921, z=0.000015)
Location(x=32.100319, y=-43.588387, z=0.000015)
Location(x=32.140427, y=-45.087849, z=0.000015)
Location(x=32.180527, y=-46.587311, z=0.000015)
Location(x=32.220634, y=-48.086777, z=0.000015)
Location(x=32.260738, y=-49.586243, z=0.000015)
Location(x=32.300842, y=-51.085705, z=0.000015)
Location(x=32.340950, y=-52.585167, z=0.000015)
Location(x=32.381054, y=-54.084633, z=0.000015)
Location(x=32.421158, y=-55.584095, z=0.000015)
Location(x=32.461266, y=-57.083557, z=0.000015)
Location(x=32.501369, y=-58.583023, z=0.000015)
Location(x=32.541473, y=-60.082489, z=0.000015)
Location(x=32.581581, y=-61.581951, z=0.000015)
